Estágio 2,Saldo inicial em 01/01/2023,Transferência para estágio,Transferência para estágio 3,Transferência do estágio,Transferência do estágio 3,Constituiçãol (reversão),Saldo final em 30/09/2023,Saldo final em 31/12/2022
Cartão de crédito,174.466,(21.446),(705.634),243.134,,538.65,229.17,174.466
Imobiliário,16.939,(25.679),(52.921),65.723,14.621,15.511,34.194,16.939
Pessoal,90.088,(2.311),(143.397),43.021,2.183,106.343,95.927,90.088
Empresas,899.0,(131),(3.317),2.08,31.0,1.348,910.0,899.0
Rural,,,,677.0,,,670.0,
,282.392,(49.567),(905.269),354.635,16.835,661.845,360.871,282.392
