Estágio 1,Saldo inicial em 01/01/2023,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Constituiçãol (reversão),Saldo final em 30/09/2023,Saldo final em 31/12/2022,Estágio 2,Transferência para estágio,Transferência do estágio,Estágio 3,Transferência para estágio 1,Transferência do estágio 1,Baixas para prejuízo,Consolidado
Cartão de crédito,296.909,(243.134),(52),21.446,53.0,289.193,364.415,296.909,,,,,,,,
Imobiliário,66.484,(65.723),(50),25.679,7.554,7.978,41.922,66.484,,,,,,,,
Pessoal,98.516,(43.021),,2.311,864.0,16.91,75.58,98.516,,,,,,,,
Empresas,12.099,(2.080),,131.0,,2.153,12.303,12.099,,,,,,,,
Rural,11.606,(677),,,,603.0,11.532,11.606,,,,,,,,
,485.614,(354.635),(102),49.567,8.471,316.837,505.752,485.614,,,,,,,,
,,,,,,,,,,,,,,,,
,174.466,,(705.634),,,538.65,229.17,174.466,Cartão de crédito,(21.446),243.134,,,,,
,16.939,,(52.921),,14.621,15.511,34.194,16.939,Imobiliário,(25.679),65.723,,,,,
,90.088,,(143.397),,2.183,106.343,95.927,90.088,Pessoal,(2.311),43.021,,,,,
,899.0,,(3.317),,31.0,1.348,910.0,899.0,Empresas,(131),2.08,,,,,
,,,,,,,670.0,,Rural,,677.0,,,,,
,282.392,,(905.269),,16.835,661.845,360.871,282.392,,(49.567),354.635,,,,,
,,,,,,,,,,,,,,,,
,402.826,,,705.634,,173.022,625.96,402.826,,,,Cartão de crédito,(53),52.0,(655.521),
,19.127,(14.621),,52.921,,11.926,43.531,19.127,,,,Imobiliário,(7.554),50.0,(18.318),
,127.149,(2.183),,143.397,,75.509,208.042,127.149,,,,Pessoal,(864),,(134.966),
,328.0,(31),,3.317,,1.937,2.825,328.0,,,,Empresas,,,(2.726),
,976.0,,,,,578.0,,976.0,,,,Rural,,,(1.554),
,550.406,(16.835),,905.269,,262.972,880.358,550.406,,,,,(8.471),102.0,(813.085),
,,,,,,,,,,,,,,,,
,874.201,,,,,1.000.865,1.219.545,874.201,,,,,,,(655.521),Cartão de crédito
,102.550,,,,,35.415,119.647,102.550,,,,,,,(18.318),Imobiliário
,315.753,,,,,198.762,379.549,315.753,,,,,,,(134.966),Pessoal
,13.326,,,,,5.438,16.038,13.326,,,,,,,(2.726),Empresas
,12.582,,,,,1.174,12.202,12.582,,,,,,,(1.554),Rural
,1.318.412,,,,,1.241.654,1.746.981,1.318.412,,,,,,,(813.085),
