Estágio 1,Saldo inicial em 01/01/2023,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Constituiçãol (reversão),Saldo final em 30/09/2023,Saldo final em 31/12/2022
Cartão de crédito,296.909,(243.134),(52),21.446,53.0,289.193,364.415,296.909
Imobiliário,66.484,(65.723),(50),25.679,7.554,7.978,41.922,66.484
Pessoal,98.516,(43.021),,2.311,864.0,16.91,75.58,98.516
Empresas,12.099,(2.080),,131.0,,2.153,12.303,12.099
Rural,11.606,(677),,,,603.0,11.532,11.606
,485.614,(354.635),(102),49.567,8.471,316.837,505.752,485.614
